date	keyword	axis	inflow_pct	status	note
2026-09-05	강사 목소리	직업군		in_use	사용됨
2026-09-05	목소리 떨림	증상		in_use	사용됨
2026-09-05	복식호흡 하는 법	방법		in_use	사용됨
2026-09-07	성우 발성	직업군		in_use	사용됨
2026-09-14	가수 발성 호흡	직업군		in_use	사용됨
2026-09-08	유튜버 목소리	직업군		in_use	사용됨
2026-09-15	영업직 목소리	직업군		in_use	사용됨
2026-09-07	작은 목소리	증상		in_use	사용됨
2026-09-07	말할 때 목 통증	증상		in_use	사용됨
2026-09-08	콧소리	증상		in_use	사용됨
2026-09-14	목소리가 가늘어요	증상		in_use	사용됨
2026-09-15	사투리 억양 교정	증상		in_use	사용됨
2026-09-14	발성연습 순서	방법		in_use	사용됨
2026-09-15	호흡근 훈련이란	방법		in_use	사용됨
2026-09-08	목소리 톤 낮추는 법	방법		in_use	사용됨
	발음교정	발음·방법	7.97	defend	5/5개월 유지 — 이미 잡고 있다
	배우발음	직업군·발음	7.68	ready	2026-05 1회 노출 후 이탈 — 되찾는다
	배우오디션	직업군	7.68	ready	2026-05 1회 노출 후 이탈 — 되찾는다
	아나운서준비	직업군	7.50	ready	2026-02 1회 노출 후 이탈 — 되찾는다
	발성연습	발성·방법	7.36	defend	2/5개월 — 흔들리지만 잡고 있다
	성인연기학원	직업군·탐색	7.19	ready	2026-05 1회 노출 후 이탈 — 되찾는다
	아나운서발성	직업군·발성	7.05	ready	2026-02 1회 노출 후 이탈 — 되찾는다
	대사발성	발음·발성	6.85	ready	2026-05 1회 노출 후 이탈 — 되찾는다
	배우발성	직업군·발성	6.84	ready	2026-04 1회 노출 후 이탈 — 되찾는다
	아나운서 발음연습	직업군·발음·방법	6.45	ready	2026-02 1회 노출 후 이탈 — 되찾는다
	아나운서발음연습	직업군·발음·방법	6.42	ready	2026-03 1회 노출 후 이탈 — 되찾는다
	소수정예연기학원	직업군·탐색	6.27	ready	2026-02 1회 노출 후 이탈 — 되찾는다
	서울면접학원	직업군·탐색	6.08	ready	2026-02 1회 노출 후 이탈 — 되찾는다
	직장인스피치학원	직업군·탐색	6.04	ready	2026-04 1회 노출 후 이탈 — 되찾는다
	호흡훈련	발성·방법	6.02	ready	2026-02 1회 노출 후 이탈 — 되찾는다
	연기발성	직업군·발성	5.80	ready	2026-03 1회 노출 후 이탈 — 되찾는다
	스피치아카데미	탐색	5.58	ready	2026-03 1회 노출 후 이탈 — 되찾는다
	발성교정 연기	직업군·발성·방법	5.55	ready	2026-05 1회 노출 후 이탈 — 되찾는다
	연기자발성연습	직업군·발성·방법	5.27	ready	2026-04 1회 노출 후 이탈 — 되찾는다
	목소리커지는법	방법	5.20	ready	2026-03 1회 노출 후 이탈 — 되찾는다
	발표불안목소리	증상	5.06	ready	2026-04 1회 노출 후 이탈 — 되찾는다
	강남성우학원	직업군·탐색	4.78	ready	2026-03 1회 노출 후 이탈 — 되찾는다
	발표목소리떨림	증상	4.78	ready	2026-03 1회 노출 후 이탈 — 되찾는다
	아나운서 스피치	직업군	4.76	ready	2026-03 1회 노출 후 이탈 — 되찾는다
	연기레슨	직업군·탐색	4.53	ready	2026-04 1회 노출 후 이탈 — 되찾는다
